fidelity,fidelity_sd,fidelity_mcse,fidelity_nvalid,rmse,rmse_sd,rmse_mcse,rmse_nvalid,bias,bias_sd,bias_mcse,bias_nvalid,icc,icc_sd,icc_mcse,icc_nvalid,sign_accuracy,sign_accuracy_sd,sign_accuracy_mcse,sign_accuracy_nvalid,replications,n_obs,n_cycles,total_span_days,factor,level,seed
0.5744643271731242,0.1041206100841535,0.0032925827923222,1000,0.731757271485304,0.0521574058074868,0.0016493619919735,1000,0.0590962879445915,0.1169300777791959,0.003697653727629,1000,0.4332811377907364,0.0881488041559901,0.0027875099415304,1000,0.7332820512820513,0.0693147814264536,0.0021919258482432,1000,1000,10,1,28.0,reference,reference,26083211
0.6934167655035107,0.0840673239792657,0.0026584422056976,1000,0.6960137809867615,0.0386560055957388,0.0012224102292674,1000,0.0584197825933573,0.1135877156279964,0.0035919589559997,1000,0.4543894289420869,0.0695964074017455,0.0022008316435451,1000,0.7926153846153846,0.0657472639420463,0.0020791110398112,1000,1000,20,1,28.0,reference,reference,26083221
0.7479145989697422,0.0677329296178681,0.0021419033018834,1000,0.6877781116116823,0.0331913724438689,0.0010496033558957,1000,0.0605683616964313,0.1066429833627686,0.0033723472390179,1000,0.4602947205840381,0.0588343632213186,0.00186050592465,1000,0.8239230769230771,0.0601817312453449,0.0019031134426741,1000,1000,30,1,28.0,reference,reference,26083231
0.7844877975677185,0.0562321827779574,0.0017782177538123,1000,0.6819768528469505,0.0302450175599883,0.0009564314336135,1000,0.0520931119082829,0.1102914990154375,0.00348772343443,1000,0.4643416518534529,0.0521950651742865,0.0016505528857167,1000,0.8447179487179488,0.0568501483612092,0.0017977595413991,1000,1000,40,1,28.0,reference,reference,26083241
0.8118760864160282,0.0473859670661634,0.001498475850588,1000,0.6789524344207515,0.0264803520982233,0.000837382258736,1000,0.0583899646779909,0.1071432170037799,0.0033881660156962,1000,0.464826292224493,0.0457910034890036,0.0014480386736996,1000,0.8652307692307692,0.0537413929433145,0.0016994520633097,1000,1000,56,1,28.0,reference,reference,26083257
0.5367227189733236,0.1181969019602339,0.0037377142256996,1000,0.7534124716945049,0.0563073448765389,0.0017805945880647,1000,0.099304430085815,0.1192958025029102,0.0037724645120681,1000,0.3974466640117191,0.095536011496817,0.0030211139489797,1000,0.7127435897435899,0.0715820315099979,0.0022636225911353,1000,1000,10,2,56.0,reference,reference,26083311
0.6988055958334073,0.0820188511102675,0.0025936638057867,1000,0.6947691326492413,0.0395461835006504,0.0012505601262902,1000,0.0606910606834678,0.113912111710903,0.0036022172608599,1000,0.4591811147770719,0.0686147656175618,0.002169789404701,1000,0.7952051282051285,0.0658001697430131,0.0020807840681361,1000,1000,20,2,56.0,reference,reference,26083321
0.7494011463046845,0.0647468249310529,0.002047474380463,1000,0.6871006357614631,0.0332823484635367,0.0010524802702418,1000,0.0550767394089598,0.1136798659945105,0.0035948730064537,1000,0.4616698804959894,0.0571721824242964,0.0018079431526342,1000,0.8225384615384617,0.0614127749362873,0.0019420424622996,1000,1000,30,2,56.0,reference,reference,26083331
0.7841168098248511,0.0570710625383495,0.0018047454610709,1000,0.6815794274661124,0.0301756592570445,0.000954238131494,1000,0.058306629444417,0.1102245456001506,0.0034856061815356,1000,0.4651801164186716,0.0518873785966978,0.0016408229818103,1000,0.8449487179487182,0.0579049692521857,0.0018311159067892,1000,1000,40,2,56.0,reference,reference,26083341
0.8120560315915132,0.0484381869467212,0.0015317499648067,1000,0.677760979691994,0.0273090096454765,0.0008635867112321,1000,0.056877839280705,0.1079095340672772,0.0034123990890012,1000,0.4652905429109485,0.0471896260613508,0.001492267002855,1000,0.8634102564102567,0.0555100535685024,0.0017553820231442,1000,1000,56,2,56.0,reference,reference,26083357
